Inflation,Quarter,Value
RPI outturn index,2021Q4,314.666667
RPI outturn index,2022Q1,320.466667
RPI outturn index,2022Q2,337.233333
RPI outturn index,2022Q3,345.333333
RPI outturn index,2022Q4,358.3
RPIX forecast,2022Q4,13.423243072
RPIX forecast,2023Q1,12.014449092
RPIX forecast,2023Q2,8.915053031
RPIX forecast,2023Q3,6.708732634
RPIX forecast,2023Q4,3.517924353
RPIX forecast,2024Q1,1.486516578
RPIX forecast,2024Q2,0.678730344
RPIX forecast,2024Q3,0.593338307
RPIX forecast,2024Q4,0.750521788
RPIX forecast,2025Q1,0.946821161
RPIX forecast,2025Q2,0.614280066
RPIX forecast,2025Q3,0.805497399
RPIX forecast,2025Q4,0.842333598
RPIX forecast,2026Q1,0.974284058
RPIX forecast,2026Q2,1.360636367
RPIX forecast,2026Q3,1.745477229
RPIX forecast,2026Q4,2.170116140
RPIX forecast,2027Q1,2.457785188
RPIX forecast,2027Q2,2.582464565
RPIX forecast,2027Q3,2.794262225
RPIX forecast,2027Q4,2.962933253
RPIX forecast,2028Q1,3.133710456
RPIX forecast index,2022Q4,358.833333333
RPIX forecast index,2023Q1,360.947893125
RPIX forecast index,2023Q2,369.330944829
RPIX forecast index,2023Q3,369.994745620
RPIX forecast index,2023Q4,371.456818554
RPIX forecast index,2024Q1,366.313443395
RPIX forecast index,2024Q2,371.837706020
RPIX forecast index,2024Q3,372.190066181
RPIX forecast index,2024Q4,374.244682911
RPIX forecast index,2025Q1,369.781776594
RPIX forecast index,2025Q2,374.121830926
RPIX forecast index,2025Q3,375.188047484
RPIX forecast index,2025Q4,377.397071615
RPIX forecast index,2026Q1,373.384501493
RPIX forecast index,2026Q2,379.212268614
RPIX forecast index,2026Q3,381.736869418
RPIX forecast index,2026Q4,385.587026377
RPIX forecast index,2027Q1,382.561490465
RPIX forecast index,2027Q2,389.005291079
RPIX forecast index,2027Q3,392.403598559
RPIX forecast index,2027Q4,397.011712601
RPIX forecast index,2028Q1,394.549859892
RPIX outturn,1997Q1,2.864756829
RPIX outturn,1997Q2,2.559055118
RPIX outturn,1997Q3,2.814136126
RPIX outturn,1997Q4,2.795838752
RPIX outturn,1998Q1,2.590673575
RPIX outturn,1998Q2,2.943058221
RPIX outturn,1998Q3,2.546148950
RPIX outturn,1998Q4,2.530044276
RPIX outturn,1999Q1,2.525252525
RPIX outturn,1999Q2,2.299564947
RPIX outturn,1999Q3,2.172563625
RPIX outturn,1999Q4,2.159161012
RPIX outturn,2000Q1,2.093596059
RPIX outturn,2000Q2,2.065613609
RPIX outturn,2000Q3,2.126366950
RPIX outturn,2000Q4,2.113526570
RPIX outturn,2001Q1,1.869722557
RPIX outturn,2001Q2,2.261904762
RPIX outturn,2001Q3,2.379535990
RPIX outturn,2001Q4,1.951507983
RPIX outturn,2002Q1,2.368265246
RPIX outturn,2002Q2,1.862630966
RPIX outturn,2002Q3,1.975595584
RPIX outturn,2002Q4,2.610208817
RPIX outturn,2003Q1,2.891844997
RPIX outturn,2003Q2,2.914285714
RPIX outturn,2003Q3,2.849002849
RPIX outturn,2003Q4,2.600339175
RPIX outturn,2004Q1,2.304665542
RPIX outturn,2004Q2,2.165463631
RPIX outturn,2004Q3,2.105263158
RPIX outturn,2004Q4,2.258953168
RPIX outturn,2005Q1,2.197802198
RPIX outturn,2005Q2,2.228260870
RPIX outturn,2005Q3,2.387411829
RPIX outturn,2005Q4,2.262931034
RPIX outturn,2006Q1,2.204301075
RPIX outturn,2006Q2,2.817650186
RPIX outturn,2006Q3,3.232644409
RPIX outturn,2006Q4,3.477344573
RPIX outturn,2007Q1,3.734876381
RPIX outturn,2007Q2,3.412616339
RPIX outturn,2007Q3,2.720739220
RPIX outturn,2007Q4,3.105906314
RPIX outturn,2008Q1,3.498985801
RPIX outturn,2008Q2,4.383333333
RPIX outturn,2008Q3,5.347326337
RPIX outturn,2008Q4,3.786008230
RPIX outturn,2009Q1,2.384452066
RPIX outturn,2009Q2,1.437011017
RPIX outturn,2009Q3,1.312460468
RPIX outturn,2009Q4,2.791435369
RPIX outturn,2010Q1,4.546179614
RPIX outturn,2010Q2,5.162915158
RPIX outturn,2010Q3,4.682378648
RPIX outturn,2010Q4,4.659774726
RPIX outturn,2011Q1,5.340250229
RPIX outturn,2011Q2,5.178865439
RPIX outturn,2011Q3,5.352616669
RPIX outturn,2011Q4,5.277900634
RPIX outturn,2012Q1,3.823870220
RPIX outturn,2012Q2,3.145012096
RPIX outturn,2012Q3,2.901217096
RPIX outturn,2012Q4,3.010782804
RPIX outturn,2013Q1,3.236607143
RPIX outturn,2013Q2,3.062913907
RPIX outturn,2013Q3,3.218264338
RPIX outturn,2013Q4,2.705274606
RPIX outturn,2014Q1,2.675675676
RPIX outturn,2014Q2,2.597054886
RPIX outturn,2014Q3,2.478347768
RPIX outturn,2014Q4,2.025148908
RPIX outturn,2015Q1,1.026585944
RPIX outturn,2015Q2,1.004697286
RPIX outturn,2015Q3,1.027174620
RPIX outturn,2015Q4,1.050856253
RPIX outturn,2016Q1,1.472120896
RPIX outturn,2016Q2,1.524350859
RPIX outturn,2016Q3,2.007722008
RPIX outturn,2016Q4,2.477853383
RPIX outturn,2017Q1,3.261009115
RPIX outturn,2017Q2,3.830003817
RPIX outturn,2017Q3,4.024728741
RPIX outturn,2017Q4,4.096717615
RPIX outturn,2018Q1,3.680218824
RPIX outturn,2018Q2,3.382352941
RPIX outturn,2018Q3,3.298969072
RPIX outturn,2018Q4,3.008785654
RPIX outturn,2019Q1,2.446336491
RPIX outturn,2019Q2,2.939781887
RPIX outturn,2019Q3,2.583069156
RPIX outturn,2019Q4,2.219885501
RPIX outturn,2020Q1,2.668851691
RPIX outturn,2020Q2,1.381851681
RPIX outturn,2020Q3,1.339132425
RPIX outturn,2020Q4,1.360155446
RPIX outturn,2021Q1,1.596169194
RPIX outturn,2021Q2,3.509768287
RPIX outturn,2021Q3,4.596792410
RPIX outturn,2021Q4,7.025259359
RPIX outturn,2022Q1,8.483896308
RPIX outturn,2022Q2,11.631734884
RPIX outturn,2022Q3,12.320483749
RPIX outturn,2022Q4,13.423243072
