SA11CD,OAC11CD,OAC11NM,LSOA11CD,LSOA11NM,SOAC11CD,SOAC11NM,LAD18CD,LAD18NM,LACCD,LACNM,RGN11CD,RGN11NM,CTRY11CD,CTRY11NM,FID
N00000355,1a1,Rural Workers and Families,95CC02W1,Ballymartrim,2c,Remoter communities,N09000002,"Armagh, Banbridge and Craigavon",7b1r,Northern Ireland Countryside,N92000002,Northern Ireland,N92000002,Northern Ireland,364
N00000356,8d3,Hard-Pressed European Settlers,95CC03W1,Callan Bridge,4b,Constrained renters,N09000002,"Armagh, Banbridge and Craigavon",7b1r,Northern Ireland Countryside,N92000002,Northern Ireland,N92000002,Northern Ireland,365
N00000357,8d3,Hard-Pressed European Settlers,95CC03W1,Callan Bridge,4b,Constrained renters,N09000002,"Armagh, Banbridge and Craigavon",7b1r,Northern Ireland Countryside,N92000002,Northern Ireland,N92000002,Northern Ireland,366
N00000358,8d3,Hard-Pressed European Settlers,95CC03W1,Callan Bridge,4b,Constrained renters,N09000002,"Armagh, Banbridge and Craigavon",7b1r,Northern Ireland Countryside,N92000002,Northern Ireland,N92000002,Northern Ireland,367
N00000359,7a1,Transitional Eastern European Neighbourhoods,95CC03W1,Callan Bridge,4b,Constrained renters,N09000002,"Armagh, Banbridge and Craigavon",7b1r,Northern Ireland Countryside,N92000002,Northern Ireland,N92000002,Northern Ireland,368
N00000360,1a1,Rural Workers and Families,95CC04W1,Carrigatuke,2c,Remoter communities,N09000002,"Armagh, Banbridge and Craigavon",7b1r,Northern Ireland Countryside,N92000002,Northern Ireland,N92000002,Northern Ireland,369
N00000361,1c2,Renting Rural Retirement,95CC04W1,Carrigatuke,2c,Remoter communities,N09000002,"Armagh, Banbridge and Craigavon",7b1r,Northern Ireland Countryside,N92000002,Northern Ireland,N92000002,Northern Ireland,370
N00000362,1a1,Rural Workers and Families,95CC04W1,Carrigatuke,2c,Remoter communities,N09000002,"Armagh, Banbridge and Craigavon",7b1r,Northern Ireland Countryside,N92000002,Northern Ireland,N92000002,Northern Ireland,371
N00000363,1a1,Rural Workers and Families,95CC04W1,Carrigatuke,2c,Remoter communities,N09000002,"Armagh, Banbridge and Craigavon",7b1r,Northern Ireland Countryside,N92000002,Northern Ireland,N92000002,Northern Ireland,372
N00000364,1a1,Rural Workers and Families,95CC04W1,Carrigatuke,2c,Remoter communities,N09000002,"Armagh, Banbridge and Craigavon",7b1r,Northern Ireland Countryside,N92000002,Northern Ireland,N92000002,Northern Ireland,373
N00000365,1b1,Rural Life,95CC04W1,Carrigatuke,2c,Remoter communities,N09000002,"Armagh, Banbridge and Craigavon",7b1r,Northern Ireland Countryside,N92000002,Northern Ireland,N92000002,Northern Ireland,374
N00000366,1b1,Rural Life,95CC05W1,Charlemont,2c,Remoter communities,N09000002,"Armagh, Banbridge and Craigavon",7b1r,Northern Ireland Countryside,N92000002,Northern Ireland,N92000002,Northern Ireland,375
N00000367,8c2,Ageing Rural Industry Workers,95CC05W1,Charlemont,2c,Remoter communities,N09000002,"Armagh, Banbridge and Craigavon",7b1r,Northern Ireland Countryside,N92000002,Northern Ireland,N92000002,Northern Ireland,376
N00000368,1a1,Rural Workers and Families,95CC05W1,Charlemont,2c,Remoter communities,N09000002,"Armagh, Banbridge and Craigavon",7b1r,Northern Ireland Countryside,N92000002,Northern Ireland,N92000002,Northern Ireland,377
N00000369,1a1,Rural Workers and Families,95CC05W1,Charlemont,2c,Remoter communities,N09000002,"Armagh, Banbridge and Craigavon",7b1r,Northern Ireland Countryside,N92000002,Northern Ireland,N92000002,Northern Ireland,378
N00000370,1a1,Rural Workers and Families,95CC05W1,Charlemont,2c,Remoter communities,N09000002,"Armagh, Banbridge and Craigavon",7b1r,Northern Ireland Countryside,N92000002,Northern Ireland,N92000002,Northern Ireland,379
N00000371,1a1,Rural Workers and Families,95CC05W1,Charlemont,2c,Remoter communities,N09000002,"Armagh, Banbridge and Craigavon",7b1r,Northern Ireland Countryside,N92000002,Northern Ireland,N92000002,Northern Ireland,380
N00000372,1b2,Rural White-Collar Workers,95CC06S1,Demesne 1,8c,Comfortable suburbia,N09000002,"Armagh, Banbridge and Craigavon",7b1r,Northern Ireland Countryside,N92000002,Northern Ireland,N92000002,Northern Ireland,381
N00000373,6b2,White Suburban Communities,95CC06S1,Demesne 1,8c,Comfortable suburbia,N09000002,"Armagh, Banbridge and Craigavon",7b1r,Northern Ireland Countryside,N92000002,Northern Ireland,N92000002,Northern Ireland,382
N00000374,1b2,Rural White-Collar Workers,95CC06S1,Demesne 1,8c,Comfortable suburbia,N09000002,"Armagh, Banbridge and Craigavon",7b1r,Northern Ireland Countryside,N92000002,Northern Ireland,N92000002,Northern Ireland,383
N00000375,1c3,Detached Rural Retirement,95CC06S1,Demesne 1,8c,Comfortable suburbia,N09000002,"Armagh, Banbridge and Craigavon",7b1r,Northern Ireland Countryside,N92000002,Northern Ireland,N92000002,Northern Ireland,384
N00000376,1b3,Ageing Rural Flat Tenants,95CC06S2,Demesne 2,5d,Endeavouring social renters,N09000002,"Armagh, Banbridge and Craigavon",7b1r,Northern Ireland Countryside,N92000002,Northern Ireland,N92000002,Northern Ireland,385
N00000377,6b2,White Suburban Communities,95CC06S2,Demesne 2,5d,Endeavouring social renters,N09000002,"Armagh, Banbridge and Craigavon",7b1r,Northern Ireland Countryside,N92000002,Northern Ireland,N92000002,Northern Ireland,386
N00000378,8a2,Industrious Hardship,95CC06S2,Demesne 2,5d,Endeavouring social renters,N09000002,"Armagh, Banbridge and Craigavon",7b1r,Northern Ireland Countryside,N92000002,Northern Ireland,N92000002,Northern Ireland,387
N00000379,6b3,Semi-Detached Ageing,95CC06S2,Demesne 2,5d,Endeavouring social renters,N09000002,"Armagh, Banbridge and Craigavon",7b1r,Northern Ireland Countryside,N92000002,Northern Ireland,N92000002,Northern Ireland,388
N00000380,1a1,Rural Workers and Families,95CC07W1,Derrynoose,2c,Remoter communities,N09000002,"Armagh, Banbridge and Craigavon",7b1r,Northern Ireland Countryside,N92000002,Northern Ireland,N92000002,Northern Ireland,389
N00000381,8c2,Ageing Rural Industry Workers,95CC07W1,Derrynoose,2c,Remoter communities,N09000002,"Armagh, Banbridge and Craigavon",7b1r,Northern Ireland Countryside,N92000002,Northern Ireland,N92000002,Northern Ireland,390
N00000382,1a1,Rural Workers and Families,95CC07W1,Derrynoose,2c,Remoter communities,N09000002,"Armagh, Banbridge and Craigavon",7b1r,Northern Ireland Countryside,N92000002,Northern Ireland,N92000002,Northern Ireland,391
N00000383,1a1,Rural Workers and Families,95CC07W1,Derrynoose,2c,Remoter communities,N09000002,"Armagh, Banbridge and Craigavon",7b1r,Northern Ireland Countryside,N92000002,Northern Ireland,N92000002,Northern Ireland,392
N00000384,1a1,Rural Workers and Families,95CC07W1,Derrynoose,2c,Remoter communities,N09000002,"Armagh, Banbridge and Craigavon",7b1r,Northern Ireland Countryside,N92000002,Northern Ireland,N92000002,Northern Ireland,393
N00000385,1a1,Rural Workers and Families,95CC07W1,Derrynoose,2c,Remoter communities,N09000002,"Armagh, Banbridge and Craigavon",7b1r,Northern Ireland Countryside,N92000002,Northern Ireland,N92000002,Northern Ireland,394
N00000386,8a1,Industrious Transitions,95CC08W1,Downs,5e,Primary sector workers,N09000002,"Armagh, Banbridge and Craigavon",7b1r,Northern Ireland Countryside,N92000002,Northern Ireland,N92000002,Northern Ireland,395
N00000387,8c2,Ageing Rural Industry Workers,95CC08W1,Downs,5e,Primary sector workers,N09000002,"Armagh, Banbridge and Craigavon",7b1r,Northern Ireland Countryside,N92000002,Northern Ireland,N92000002,Northern Ireland,396
N00000388,8c2,Ageing Rural Industry Workers,95CC08W1,Downs,5e,Primary sector workers,N09000002,"Armagh, Banbridge and Craigavon",7b1r,Northern Ireland Countryside,N92000002,Northern Ireland,N92000002,Northern Ireland,397
N00000389,1b1,Rural Life,95CC08W1,Downs,5e,Primary sector workers,N09000002,"Armagh, Banbridge and Craigavon",7b1r,Northern Ireland Countryside,N92000002,Northern Ireland,N92000002,Northern Ireland,398
N00000390,1a1,Rural Workers and Families,95CC09S1,Hamiltonsbawn 1,2c,Remoter communities,N09000002,"Armagh, Banbridge and Craigavon",7b1r,Northern Ireland Countryside,N92000002,Northern Ireland,N92000002,Northern Ireland,399
N00000391,1a1,Rural Workers and Families,95CC09S1,Hamiltonsbawn 1,2c,Remoter communities,N09000002,"Armagh, Banbridge and Craigavon",7b1r,Northern Ireland Countryside,N92000002,Northern Ireland,N92000002,Northern Ireland,400
N00000442,1b1,Rural Life,95CC17W1,Milford,2c,Remoter communities,N09000002,"Armagh, Banbridge and Craigavon",7b1r,Northern Ireland Countryside,N92000002,Northern Ireland,N92000002,Northern Ireland,401
N00000443,1a1,Rural Workers and Families,95CC18W1,Observatory,5e,Primary sector workers,N09000002,"Armagh, Banbridge and Craigavon",7b1r,Northern Ireland Countryside,N92000002,Northern Ireland,N92000002,Northern Ireland,402
N00000444,8c2,Ageing Rural Industry Workers,95CC18W1,Observatory,5e,Primary sector workers,N09000002,"Armagh, Banbridge and Craigavon",7b1r,Northern Ireland Countryside,N92000002,Northern Ireland,N92000002,Northern Ireland,403
N00000445,6a4,Ageing in Suburbia,95CC18W1,Observatory,5e,Primary sector workers,N09000002,"Armagh, Banbridge and Craigavon",7b1r,Northern Ireland Countryside,N92000002,Northern Ireland,N92000002,Northern Ireland,404
N00000446,1b1,Rural Life,95CC18W1,Observatory,5e,Primary sector workers,N09000002,"Armagh, Banbridge and Craigavon",7b1r,Northern Ireland Countryside,N92000002,Northern Ireland,N92000002,Northern Ireland,405
N00000447,1c2,Renting Rural Retirement,95CC18W1,Observatory,5e,Primary sector workers,N09000002,"Armagh, Banbridge and Craigavon",7b1r,Northern Ireland Countryside,N92000002,Northern Ireland,N92000002,Northern Ireland,406
N00000448,7a1,Transitional Eastern European Neighbourhoods,95CC18W1,Observatory,5e,Primary sector workers,N09000002,"Armagh, Banbridge and Craigavon",7b1r,Northern Ireland Countryside,N92000002,Northern Ireland,N92000002,Northern Ireland,407
N00000449,1a1,Rural Workers and Families,95CC19W1,Poyntz Pass,2c,Remoter communities,N09000002,"Armagh, Banbridge and Craigavon",7b1r,Northern Ireland Countryside,N92000002,Northern Ireland,N92000002,Northern Ireland,408
N00000450,1b1,Rural Life,95CC19W1,Poyntz Pass,2c,Remoter communities,N09000002,"Armagh, Banbridge and Craigavon",7b1r,Northern Ireland Countryside,N92000002,Northern Ireland,N92000002,Northern Ireland,409
N00000392,1b1,Rural Life,95CC09S2,Hamiltonsbawn 2,2c,Remoter communities,N09000002,"Armagh, Banbridge and Craigavon",7b1r,Northern Ireland Countryside,N92000002,Northern Ireland,N92000002,Northern Ireland,410
N00000451,1b1,Rural Life,95CC19W1,Poyntz Pass,2c,Remoter communities,N09000002,"Armagh, Banbridge and Craigavon",7b1r,Northern Ireland Countryside,N92000002,Northern Ireland,N92000002,Northern Ireland,411
N00000452,1a1,Rural Workers and Families,95CC19W1,Poyntz Pass,2c,Remoter communities,N09000002,"Armagh, Banbridge and Craigavon",7b1r,Northern Ireland Countryside,N92000002,Northern Ireland,N92000002,Northern Ireland,412
N00000453,8c2,Ageing Rural Industry Workers,95CC19W1,Poyntz Pass,2c,Remoter communities,N09000002,"Armagh, Banbridge and Craigavon",7b1r,Northern Ireland Countryside,N92000002,Northern Ireland,N92000002,Northern Ireland,413
N00000454,1a1,Rural Workers and Families,95CC19W1,Poyntz Pass,2c,Remoter communities,N09000002,"Armagh, Banbridge and Craigavon",7b1r,Northern Ireland Countryside,N92000002,Northern Ireland,N92000002,Northern Ireland,414
N00000455,8a1,Industrious Transitions,95CC20S1,Rich Hill 1,2d,Rural traits,N09000002,"Armagh, Banbridge and Craigavon",7b1r,Northern Ireland Countryside,N92000002,Northern Ireland,N92000002,Northern Ireland,415
N00000456,6a2,Comfortable Suburbia,95CC20S1,Rich Hill 1,2d,Rural traits,N09000002,"Armagh, Banbridge and Craigavon",7b1r,Northern Ireland Countryside,N92000002,Northern Ireland,N92000002,Northern Ireland,416
N00000457,6b3,Semi-Detached Ageing,95CC20S1,Rich Hill 1,2d,Rural traits,N09000002,"Armagh, Banbridge and Craigavon",7b1r,Northern Ireland Countryside,N92000002,Northern Ireland,N92000002,Northern Ireland,417
N00000458,6a2,Comfortable Suburbia,95CC20S1,Rich Hill 1,2d,Rural traits,N09000002,"Armagh, Banbridge and Craigavon",7b1r,Northern Ireland Countryside,N92000002,Northern Ireland,N92000002,Northern Ireland,418
N00000459,5b3,Self-Sufficient Retirement,95CC20S2,Rich Hill 2,5e,Primary sector workers,N09000002,"Armagh, Banbridge and Craigavon",7b1r,Northern Ireland Countryside,N92000002,Northern Ireland,N92000002,Northern Ireland,419
N00000460,5b3,Self-Sufficient Retirement,95CC20S2,Rich Hill 2,5e,Primary sector workers,N09000002,"Armagh, Banbridge and Craigavon",7b1r,Northern Ireland Countryside,N92000002,Northern Ireland,N92000002,Northern Ireland,420
N00000461,6b2,White Suburban Communities,95CC20S2,Rich Hill 2,5e,Primary sector workers,N09000002,"Armagh, Banbridge and Craigavon",7b1r,Northern Ireland Countryside,N92000002,Northern Ireland,N92000002,Northern Ireland,421
N00000462,8a2,Industrious Hardship,95CC20S2,Rich Hill 2,5e,Primary sector workers,N09000002,"Armagh, Banbridge and Craigavon",7b1r,Northern Ireland Countryside,N92000002,Northern Ireland,N92000002,Northern Ireland,422
N00000463,8c2,Ageing Rural Industry Workers,95CC21W1,Tandragee,2d,Rural traits,N09000002,"Armagh, Banbridge and Craigavon",7b1r,Northern Ireland Countryside,N92000002,Northern Ireland,N92000002,Northern Ireland,423
N00000464,6b2,White Suburban Communities,95CC21W1,Tandragee,2d,Rural traits,N09000002,"Armagh, Banbridge and Craigavon",7b1r,Northern Ireland Countryside,N92000002,Northern Ireland,N92000002,Northern Ireland,424
N00000465,8c2,Ageing Rural Industry Workers,95CC21W1,Tandragee,2d,Rural traits,N09000002,"Armagh, Banbridge and Craigavon",7b1r,Northern Ireland Countryside,N92000002,Northern Ireland,N92000002,Northern Ireland,425
N00000466,1a1,Rural Workers and Families,95CC21W1,Tandragee,2d,Rural traits,N09000002,"Armagh, Banbridge and Craigavon",7b1r,Northern Ireland Countryside,N92000002,Northern Ireland,N92000002,Northern Ireland,426
N00000467,8a1,Industrious Transitions,95CC21W1,Tandragee,2d,Rural traits,N09000002,"Armagh, Banbridge and Craigavon",7b1r,Northern Ireland Countryside,N92000002,Northern Ireland,N92000002,Northern Ireland,427
N00000468,6b2,White Suburban Communities,95CC21W1,Tandragee,2d,Rural traits,N09000002,"Armagh, Banbridge and Craigavon",7b1r,Northern Ireland Countryside,N92000002,Northern Ireland,N92000002,Northern Ireland,428
N00002230,7a1,Transitional Eastern European Neighbourhoods,95LL08S1,Corcrain 1,4b,Constrained renters,N09000002,"Armagh, Banbridge and Craigavon",7b1r,Northern Ireland Countryside,N92000002,Northern Ireland,N92000002,Northern Ireland,429
N00000469,8a1,Industrious Transitions,95CC21W1,Tandragee,2d,Rural traits,N09000002,"Armagh, Banbridge and Craigavon",7b1r,Northern Ireland Countryside,N92000002,Northern Ireland,N92000002,Northern Ireland,430
N00000470,8c2,Ageing Rural Industry Workers,95CC22W1,The Mall,4b,Constrained renters,N09000002,"Armagh, Banbridge and Craigavon",7b1r,Northern Ireland Countryside,N92000002,Northern Ireland,N92000002,Northern Ireland,431
N00000471,8d3,Hard-Pressed European Settlers,95CC22W1,The Mall,4b,Constrained renters,N09000002,"Armagh, Banbridge and Craigavon",7b1r,Northern Ireland Countryside,N92000002,Northern Ireland,N92000002,Northern Ireland,432
N00000472,7a1,Transitional Eastern European Neighbourhoods,95CC22W1,The Mall,4b,Constrained renters,N09000002,"Armagh, Banbridge and Craigavon",7b1r,Northern Ireland Countryside,N92000002,Northern Ireland,N92000002,Northern Ireland,433
N00000473,8a2,Industrious Hardship,95CC22W1,The Mall,4b,Constrained renters,N09000002,"Armagh, Banbridge and Craigavon",7b1r,Northern Ireland Countryside,N92000002,Northern Ireland,N92000002,Northern Ireland,434
N00000474,5b2,Communal Retirement,95CC22W1,The Mall,4b,Constrained renters,N09000002,"Armagh, Banbridge and Craigavon",7b1r,Northern Ireland Countryside,N92000002,Northern Ireland,N92000002,Northern Ireland,435
N00000475,7a1,Transitional Eastern European Neighbourhoods,95CC22W1,The Mall,4b,Constrained renters,N09000002,"Armagh, Banbridge and Craigavon",7b1r,Northern Ireland Countryside,N92000002,Northern Ireland,N92000002,Northern Ireland,436
N00000476,8c2,Ageing Rural Industry Workers,95CC22W1,The Mall,4b,Constrained renters,N09000002,"Armagh, Banbridge and Craigavon",7b1r,Northern Ireland Countryside,N92000002,Northern Ireland,N92000002,Northern Ireland,437
N00000715,6b2,White Suburban Communities,95FF01S1,Ballydown 1,8b,Ageing suburbanites,N09000002,"Armagh, Banbridge and Craigavon",7b1r,Northern Ireland Countryside,N92000002,Northern Ireland,N92000002,Northern Ireland,438
N00000716,6b3,Semi-Detached Ageing,95FF01S1,Ballydown 1,8b,Ageing suburbanites,N09000002,"Armagh, Banbridge and Craigavon",7b1r,Northern Ireland Countryside,N92000002,Northern Ireland,N92000002,Northern Ireland,439
N00000717,6b2,White Suburban Communities,95FF01S1,Ballydown 1,8b,Ageing suburbanites,N09000002,"Armagh, Banbridge and Craigavon",7b1r,Northern Ireland Countryside,N92000002,Northern Ireland,N92000002,Northern Ireland,440
N00000718,1b2,Rural White-Collar Workers,95FF01S2,Ballydown 2,2b,Prospering countryside life,N09000002,"Armagh, Banbridge and Craigavon",7b1r,Northern Ireland Countryside,N92000002,Northern Ireland,N92000002,Northern Ireland,441
N00000719,6a2,Comfortable Suburbia,95FF01S2,Ballydown 2,2b,Prospering countryside life,N09000002,"Armagh, Banbridge and Craigavon",7b1r,Northern Ireland Countryside,N92000002,Northern Ireland,N92000002,Northern Ireland,442
N00000720,6a2,Comfortable Suburbia,95FF01S2,Ballydown 2,2b,Prospering countryside life,N09000002,"Armagh, Banbridge and Craigavon",7b1r,Northern Ireland Countryside,N92000002,Northern Ireland,N92000002,Northern Ireland,443
N00000722,1b1,Rural Life,95FF02W1,Ballyward,2c,Remoter communities,N09000002,"Armagh, Banbridge and Craigavon",7b1r,Northern Ireland Countryside,N92000002,Northern Ireland,N92000002,Northern Ireland,444
N00000727,8c2,Ageing Rural Industry Workers,95FF03W1,Banbridge West,5b,Aspiring urban households,N09000002,"Armagh, Banbridge and Craigavon",7b1r,Northern Ireland Countryside,N92000002,Northern Ireland,N92000002,Northern Ireland,445
N00000728,1b1,Rural Life,95FF03W1,Banbridge West,5b,Aspiring urban households,N09000002,"Armagh, Banbridge and Craigavon",7b1r,Northern Ireland Countryside,N92000002,Northern Ireland,N92000002,Northern Ireland,446
N00000729,6b4,Older Workers and Retirement,95FF03W1,Banbridge West,5b,Aspiring urban households,N09000002,"Armagh, Banbridge and Craigavon",7b1r,Northern Ireland Countryside,N92000002,Northern Ireland,N92000002,Northern Ireland,447
N00000730,6b3,Semi-Detached Ageing,95FF03W1,Banbridge West,5b,Aspiring urban households,N09000002,"Armagh, Banbridge and Craigavon",7b1r,Northern Ireland Countryside,N92000002,Northern Ireland,N92000002,Northern Ireland,448
N00000731,8c2,Ageing Rural Industry Workers,95FF03W1,Banbridge West,5b,Aspiring urban households,N09000002,"Armagh, Banbridge and Craigavon",7b1r,Northern Ireland Countryside,N92000002,Northern Ireland,N92000002,Northern Ireland,449
N00000732,5a1,White Professionals,95FF03W1,Banbridge West,5b,Aspiring urban households,N09000002,"Armagh, Banbridge and Craigavon",7b1r,Northern Ireland Countryside,N92000002,Northern Ireland,N92000002,Northern Ireland,450
N00000733,6b3,Semi-Detached Ageing,95FF03W1,Banbridge West,5b,Aspiring urban households,N09000002,"Armagh, Banbridge and Craigavon",7b1r,Northern Ireland Countryside,N92000002,Northern Ireland,N92000002,Northern Ireland,451
N00000734,8c2,Ageing Rural Industry Workers,95FF03W1,Banbridge West,5b,Aspiring urban households,N09000002,"Armagh, Banbridge and Craigavon",7b1r,Northern Ireland Countryside,N92000002,Northern Ireland,N92000002,Northern Ireland,452
N00000735,1a1,Rural Workers and Families,95FF04W1,Bannside,2c,Remoter communities,N09000002,"Armagh, Banbridge and Craigavon",7b1r,Northern Ireland Countryside,N92000002,Northern Ireland,N92000002,Northern Ireland,453
N00002280,8a1,Industrious Transitions,95LL13S2,Drumgor 2,4b,Constrained renters,N09000002,"Armagh, Banbridge and Craigavon",7b1r,Northern Ireland Countryside,N92000002,Northern Ireland,N92000002,Northern Ireland,454
N00002180,8b1,Deprived Blue-Collar Terraces,95LL02S1,Annagh 1,2d,Rural traits,N09000002,"Armagh, Banbridge and Craigavon",7b1r,Northern Ireland Countryside,N92000002,Northern Ireland,N92000002,Northern Ireland,455
N00002281,8b2,Hard-Pressed Rented Terraces,95LL14S1,Drumnamoe 1,4a,Challenged white communities,N09000002,"Armagh, Banbridge and Craigavon",7b1r,Northern Ireland Countryside,N92000002,Northern Ireland,N92000002,Northern Ireland,456
N00002181,6b2,White Suburban Communities,95LL02S1,Annagh 1,2d,Rural traits,N09000002,"Armagh, Banbridge and Craigavon",7b1r,Northern Ireland Countryside,N92000002,Northern Ireland,N92000002,Northern Ireland,457
N00000736,1b1,Rural Life,95FF04W1,Bannside,2c,Remoter communities,N09000002,"Armagh, Banbridge and Craigavon",7b1r,Northern Ireland Countryside,N92000002,Northern Ireland,N92000002,Northern Ireland,458
N00002282,8d1,Young Hard-Pressed Families,95LL14S1,Drumnamoe 1,4a,Challenged white communities,N09000002,"Armagh, Banbridge and Craigavon",7b1r,Northern Ireland Countryside,N92000002,Northern Ireland,N92000002,Northern Ireland,459
N00000737,1a1,Rural Workers and Families,95FF04W1,Bannside,2c,Remoter communities,N09000002,"Armagh, Banbridge and Craigavon",7b1r,Northern Ireland Countryside,N92000002,Northern Ireland,N92000002,Northern Ireland,460
N00002182,1a1,Rural Workers and Families,95LL02S1,Annagh 1,2d,Rural traits,N09000002,"Armagh, Banbridge and Craigavon",7b1r,Northern Ireland Countryside,N92000002,Northern Ireland,N92000002,Northern Ireland,461
N00002283,8b2,Hard-Pressed Rented Terraces,95LL14S1,Drumnamoe 1,4a,Challenged white communities,N09000002,"Armagh, Banbridge and Craigavon",7b1r,Northern Ireland Countryside,N92000002,Northern Ireland,N92000002,Northern Ireland,462
N00002231,8d3,Hard-Pressed European Settlers,95LL08S1,Corcrain 1,4b,Constrained renters,N09000002,"Armagh, Banbridge and Craigavon",7b1r,Northern Ireland Countryside,N92000002,Northern Ireland,N92000002,Northern Ireland,463
N00002183,4a2,Social Renting New Arrivals,95LL02S2,Annagh 2,4b,Constrained renters,N09000002,"Armagh, Banbridge and Craigavon",7b1r,Northern Ireland Countryside,N92000002,Northern Ireland,N92000002,Northern Ireland,464
N00002284,8b2,Hard-Pressed Rented Terraces,95LL14S1,Drumnamoe 1,4a,Challenged white communities,N09000002,"Armagh, Banbridge and Craigavon",7b1r,Northern Ireland Countryside,N92000002,Northern Ireland,N92000002,Northern Ireland,465
N00002232,4a2,Social Renting New Arrivals,95LL08S2,Corcrain 2,4b,Constrained renters,N09000002,"Armagh, Banbridge and Craigavon",7b1r,Northern Ireland Countryside,N92000002,Northern Ireland,N92000002,Northern Ireland,466
N00000785,1a1,Rural Workers and Families,95FF11W1,Katesbridge,2c,Remoter communities,N09000002,"Armagh, Banbridge and Craigavon",7b1r,Northern Ireland Countryside,N92000002,Northern Ireland,N92000002,Northern Ireland,467
N00000393,1a2,Established Farming Communities,95CC09S2,Hamiltonsbawn 2,2c,Remoter communities,N09000002,"Armagh, Banbridge and Craigavon",7b1r,Northern Ireland Countryside,N92000002,Northern Ireland,N92000002,Northern Ireland,468
N00000394,1a1,Rural Workers and Families,95CC10W1,Hockley,2c,Remoter communities,N09000002,"Armagh, Banbridge and Craigavon",7b1r,Northern Ireland Countryside,N92000002,Northern Ireland,N92000002,Northern Ireland,469
N00000395,1c3,Detached Rural Retirement,95CC10W1,Hockley,2c,Remoter communities,N09000002,"Armagh, Banbridge and Craigavon",7b1r,Northern Ireland Countryside,N92000002,Northern Ireland,N92000002,Northern Ireland,470
N00000396,1a1,Rural Workers and Families,95CC10W1,Hockley,2c,Remoter communities,N09000002,"Armagh, Banbridge and Craigavon",7b1r,Northern Ireland Countryside,N92000002,Northern Ireland,N92000002,Northern Ireland,471
N00000397,1a1,Rural Workers and Families,95CC10W1,Hockley,2c,Remoter communities,N09000002,"Armagh, Banbridge and Craigavon",7b1r,Northern Ireland Countryside,N92000002,Northern Ireland,N92000002,Northern Ireland,472
N00000398,1a1,Rural Workers and Families,95CC10W1,Hockley,2c,Remoter communities,N09000002,"Armagh, Banbridge and Craigavon",7b1r,Northern Ireland Countryside,N92000002,Northern Ireland,N92000002,Northern Ireland,473
N00000399,1b1,Rural Life,95CC10W1,Hockley,2c,Remoter communities,N09000002,"Armagh, Banbridge and Craigavon",7b1r,Northern Ireland Countryside,N92000002,Northern Ireland,N92000002,Northern Ireland,474
N00000400,8c2,Ageing Rural Industry Workers,95CC11W1,Keady,5e,Primary sector workers,N09000002,"Armagh, Banbridge and Craigavon",7b1r,Northern Ireland Countryside,N92000002,Northern Ireland,N92000002,Northern Ireland,475
N00000401,8c2,Ageing Rural Industry Workers,95CC11W1,Keady,5e,Primary sector workers,N09000002,"Armagh, Banbridge and Craigavon",7b1r,Northern Ireland Countryside,N92000002,Northern Ireland,N92000002,Northern Ireland,476
N00000402,8c2,Ageing Rural Industry Workers,95CC11W1,Keady,5e,Primary sector workers,N09000002,"Armagh, Banbridge and Craigavon",7b1r,Northern Ireland Countryside,N92000002,Northern Ireland,N92000002,Northern Ireland,477
N00000403,5a1,White Professionals,95CC11W1,Keady,5e,Primary sector workers,N09000002,"Armagh, Banbridge and Craigavon",7b1r,Northern Ireland Countryside,N92000002,Northern Ireland,N92000002,Northern Ireland,478
N00000404,8c2,Ageing Rural Industry Workers,95CC11W1,Keady,5e,Primary sector workers,N09000002,"Armagh, Banbridge and Craigavon",7b1r,Northern Ireland Countryside,N92000002,Northern Ireland,N92000002,Northern Ireland,479
N00000405,8c2,Ageing Rural Industry Workers,95CC11W1,Keady,5e,Primary sector workers,N09000002,"Armagh, Banbridge and Craigavon",7b1r,Northern Ireland Countryside,N92000002,Northern Ireland,N92000002,Northern Ireland,480
N00000406,1a1,Rural Workers and Families,95CC12W1,Killeen,2c,Remoter communities,N09000002,"Armagh, Banbridge and Craigavon",7b1r,Northern Ireland Countryside,N92000002,Northern Ireland,N92000002,Northern Ireland,481
N00000407,1a1,Rural Workers and Families,95CC12W1,Killeen,2c,Remoter communities,N09000002,"Armagh, Banbridge and Craigavon",7b1r,Northern Ireland Countryside,N92000002,Northern Ireland,N92000002,Northern Ireland,482
N00000408,1a1,Rural Workers and Families,95CC12W1,Killeen,2c,Remoter communities,N09000002,"Armagh, Banbridge and Craigavon",7b1r,Northern Ireland Countryside,N92000002,Northern Ireland,N92000002,Northern Ireland,483
N00000409,1c2,Renting Rural Retirement,95CC12W1,Killeen,2c,Remoter communities,N09000002,"Armagh, Banbridge and Craigavon",7b1r,Northern Ireland Countryside,N92000002,Northern Ireland,N92000002,Northern Ireland,484
N00000410,1a1,Rural Workers and Families,95CC12W1,Killeen,2c,Remoter communities,N09000002,"Armagh, Banbridge and Craigavon",7b1r,Northern Ireland Countryside,N92000002,Northern Ireland,N92000002,Northern Ireland,485
N00000738,1a1,Rural Workers and Families,95FF04W1,Bannside,2c,Remoter communities,N09000002,"Armagh, Banbridge and Craigavon",7b1r,Northern Ireland Countryside,N92000002,Northern Ireland,N92000002,Northern Ireland,486
